序号,项目名称,型号,生产令号,备注,令号年份,添加时间,
1,川东钻探公司ZJ40DBS-J后场改造-2,ZJ40DBS-J,SX40DBSJ05005T,,2005,2005-3-1,
2,美国NABORS天车、井架、底座、绞车,,SX50DBS05007T,,2005,2005-3-1,
3,美国NABORS ZJ30DBS-1,ZJ30DBS,SZ30DBS05043T,,2005,2005-3-1,
4,美国NABORS ZJ30DBS-3,ZJ30DBS,SZ30DBS05044T,,2005,2005-3-1,
5,美国NABORS ZJ30DBS-4,ZJ30DBS,SZ30DBS05045T,,2005,2005-3-1,
6,美国NABORS ZJ30DBS-6,ZJ30DBS,SZ30DBS05065T,,2005,2005-3-1,
7,美国NABORS ZJ30DBS-7,ZJ30DBS,SZ30DBS05066T,,2005,2005-3-1,
8,美国NABORS ZJ30DBS-8,ZJ30DBS,SZ50DBS05067T,,2005,2005-3-1,
9,美国NABORS ZJ30DBS-11,ZJ30DBS,SZ50DBS05068T,,2005,2005-3-1,
10,美国NABORS ZJ30DBS-12,ZJ30DBS,SZ30DBS05069T,,2005,2005-3-1,
11,美国NABORS ZJ30DBS-13,ZJ30DBS,SZ30DBS05070T,,2005,2005-3-1,
12,美国NABORS ZJ30DBS-16,ZJ30DBS,SZ30DBS05071T,,2005,2005-3-1,
13,美国NABORS ZJ30DBS-17,ZJ30DBS,SZ30DBS05072T,,2005,2005-3-1,
14,美国NABORS ZJ30DBS-18,ZJ30DBS,SZ30DBS05073T,,2005,2005-3-1,
15,美国NABORS ZJ30DBS-21,ZJ30DBS,SZ30DBS05074T,,2005,2005-3-1,
16,美国NABORS ZJ30DBS-22,ZJ30DBS,SZ30DBS05075T,,2005,2005-3-1,
17,美国NABORS ZJ30DBS-23,ZJ30DBS,SZ30DBS05076T,,2005,2005-3-1,
18,美国NABORS ZJ30DBS-24,ZJ30DBS,SZ30DBS05087T,,2005,2005-3-1,
19,美国NABORS ZJ30DBS-27,ZJ30DBS,SZ30DBS05088T,,2005,2005-3-1,
20,美国NABORS ZJ30DBS-28,ZJ30DBS,SZ30DBS05089T,,2005,2005-3-1,
21,美国NABORS ZJ30DBS-29,ZJ30DBS,SZ30DBS05090T,,2005,2005-3-1,
22,蓬莱19-3钻修机模块,,SXPL1905008TT,,2005,2005-3-1,
23,滇黔桂ZJ70LDB,ZJ70/4500LDB,SZ70LDB05016TT,,2005,2005-3-1,
24,长城公司ZJ50DT-2,ZJ50DT-2,SZ50DT05019T,,2005,2005-3-1,
25,华北石油管理局ZJ50DBS-2,ZJ50DBS,SZ50DBS05020T,,2005,2005-3-1,
26,印度ZJ40LC,ZJ40LC,SZ40LC05022T,,2005,2005-3-1,
27,美国NABORS ZJ50DBS-5,ZJ50DBS,SZ50DBS05025T,,2005,2005-3-1,
28,美国NABORS ZJ50DBS-6,ZJ50DBS,SZ50DBS05026T,,2005,2005-3-1,
29,美国NABORS ZJ50DBS-7,ZJ50DBS,SZ50DBS05027T,,2005,2005-3-1,
30,美国NABORS ZJ50DBS-8,ZJ50DBS,SZ50DBS05028T,,2005,2005-3-1,
31,美国NABORS ZJ50DBS-9,ZJ50DBS,SZ50DBS05029T,,2005,2005-3-1,
32,美国NABORS ZJ50DBS-10,ZJ50DBS,SZ50DBS05030T,,2005,2005-3-1,
33,美国NABORS ZJ50DBS-11,ZJ50DBS,SZ50DBS05031T,,2005,2005-3-1,
34,美国NABORS ZJ50DBS-12,ZJ50DBS,SZ50DBS05032T,,2005,2005-3-1,
35,美国NABORS ZJ50DBS-13,ZJ50DBS,SZ50DBS05033T,,2005,2005-3-1,
36,美国NABORS ZJ50DBS-14,ZJ50DBS,SZ50DBS05034T,,2005,2005-3-1,
37,美国NABORS ZJ50DBS-15,ZJ50DBS,SZ50DBS05035T,,2005,2005-3-1,
38,美国NABORS ZJ50DBS-16,ZJ50DBS,SZ50DBS05036T,,2005,2005-3-1,
39,美国NABORS ZJ50DBS-17,ZJ50DBS,SZ50DBS05037T,,2005,2005-3-1,
40,美国NABORS ZJ50DBS-18,ZJ50DBS,SZ50DBS05038T,,2005,2005-3-1,
41,美国NABORS ZJ50DBS-19,ZJ50DBS,SZ50DBS05039T,,2005,2005-3-1,
42,美国NABORS ZJ50DBS-20,ZJ50DBS,SZ50DBS05040T,,2005,2005-3-1,
43,美国NABORS ZJ50DBS-21,ZJ50DBS,SZ50DBS05041T,,2005,2005-3-1,
44,美国NABORS ZJ50DBS-22,ZJ50DBS,SZ50DBS05042T,,2005,2005-3-1,
45,华北石油管理局ZJ40J-1,ZJ40J,SZ40J05047T,,2005,2005-3-1,
46,华北石油管理局ZJ40J-2,ZJ40J,SZ40J05048T,,2005,2005-3-1,
47,长庆油田Z30LDB-3,Z30LDB,SZ30LDB05051T,,2005,2005-3-1,
48,长庆油田Z30LDB-4,Z30LDB,SZ30LDB05052T,,2005,2005-3-1,
49,长庆油田Z30LDB-5,Z30LDB,SZ30LDB05053T,,2005,2005-3-1,
50,长庆油田Z30LDB-6,Z30LDB,SZ30LDB05054T,,2005,2005-3-1,
51,长庆油田Z30LDB-7,Z30LDB,SZ30LDB05055T,,2005,2005-3-1,
52,阿联酋ETA ZJ70DBS-1,ZJ70DBS,SZ70D05058TT,,2005,2005-3-1,
53,阿联酋ETA ZJ70DBS-2,ZJ70DBS,SZ70D05059TT,,2005,2005-3-1,
54,伊朗 ZJ70D,ZJ70D,SZ70D05060T,,2005,2005-3-1,
55,华北石油管理局ZJ50DBS-1,ZJ50DBS,SZ50DBS05063T,,2005,2005-3-1,
56,美国NABORS ZJ50DBS-23,ZJ50DBS,SZ50DBS05077T,,2005,2005-3-1,
57,美国NABORS ZJ50DBS-24,ZJ50DBS,SZ50DBS05078T,,2005,2005-3-1,
58,美国NABORS ZJ50DBS-25,ZJ50DBS,SZ50DBS05079T,,2005,2005-3-1,
59,美国NABORS ZJ50DBS-26,ZJ50DBS,SZ50DBS05080T,,2005,2005-3-1,
60,美国NABORS ZJ50DBS-27,ZJ50DBS,SZ50DBS05081T,,2005,2005-3-1,
61,美国NABORS ZJ50DBS-28,ZJ50DBS,SZ50DBS05082T,,2005,2005-3-1,
62,美国NABORS ZJ50DBS-29,ZJ50DBS,SZ50DBS05083T,,2005,2005-3-1,
63,美国NABORS ZJ50DBS-30,ZJ50DBS,SZ50DBS05084T,,2005,2005-3-1,
64,美国NABORS ZJ50DBS-31,ZJ50DBS,SZ50DBS05085T,,2005,2005-3-1,
65,美国NABORS ZJ50DBS-32,ZJ50DBS,SZ50DBS05086T,,2005,2005-3-1,
66,吐哈油田ZJ40L-1,ZJ40L,SZ40L05091T,,2005,2005-3-1,
67,吐哈油田ZJ40L-2,ZJ40L,SZ40L05092T,,2005,2005-3-1,
68,吐哈ZJ70L,ZJ70L,SZ70LDB05093T,,2005,2005-3-1,